Código;Asignatura;Carga Horaria;Custrimestre
1;Patrimonio Artístico Argentino Social y Aplicado;64;1
2;Curaduría y Marketing Cultural;64;1
3;Gestión y Legislación de Museos;64;1
4;Metodología de la Investigación;64;1
5;Trabajo Social Comunitario I;32;1
6;Taller de Informática y Representación Aplicado;64;2
7;Patrimonio Natural;64;2
8;Arquitectura Museológica;64;2
9;Diseño y Evaluación de Proyectos Museológicos;64;2
10;Idioma Nivel I;64;2
11;Diseño de Espacios y Equipamiento en Museos y Repositorios Culturales y Naturales;64;3
12;Didáctica y Comunicación en Museos;64;3
13;Diseño de Proyectos de Cooperación;64;3
14;Principios de Documentación;64;3
15;Idioma Nivel II;64;3
16;Industrias Culturales Aplicadas a la Difusión del Patrimonio Cultural y Natural;64;4
17;Coleccionismo y Economía de la Cultura;64;4
18;Trabajo Social Comunitario II;32;4
19;Taller de Elaboración de Trabajo Final;96;4
