Código;Asignatura;Carga Horaria;Tabla
56;Filosofía de las ciencias;32;Optativas
57;Ingeniería Social;32;Optativas
58;Tecnología de la Soldadura I;64;Optativas
59;Tecnología de la Soldadura II;64;Optativas
60;Pulvimetalurgia;64;Optativas
61;Estructura de Materiales II;64;Optativas
62;Estructura de Materiales III;64;Optativas
63;Costos y Presupuestos;32;Optativas
64;Comercialización;32;Optativas
65;Evaluación de Proyectos;64;Optativas
66;Nanominerales y Nanotecnología;64;Optativas
67;Microscopía Electrónica de Barrido Analítica;64;Optativas
68;Tendencias en desarrollo e innovación de biomateriales;64;Optativas
69;Diseño y experimentación de implantes biológicos;64;Optativas
70;Proyecto Integral de Laboratorio en Biomateriales;64;Optativas
71;Estudio y caracterización de un Biomaterial;64;Optativas
72;Mecánica y Mecanismos;64;Optativas
73;Algoritmo y Estructura de datos;64;Optativas
74;Mejora continua y Calidad total;32;Optativas
75;Planificación y Administración de Proyectos y Obras;32;Optativas
76;Gestión Ambiental;64;Optativas
77;Integridad estructural y trazabilidad de materiales;64;Optativas
78;Diseño y control de procesos por computadora;64;Optativas
79;Proyecto integral de plantas I;64;Optativas
80;Proyecto Integral de Plantas II;64;Optativas
81;Obtención de Metales no Ferrosos;64;Optativas
82;Materiales Especiales II;64;Optativas
83;Materiales compuestos II;64;Optativas
84;Materiales Poliméricos;64;Optativas
85;Tecnología de la Celulosa y el papel;64;Optativas
86;Materiales Especiales para la Ind. Computacional;64;Optativas
87;Tecnología de Cemento y el Concreto;64;Optativas
88;Tecnología de los Recubrimientos;64;Optativas
89;Soldadura Ultrasónica y Micro-soldadura;64;Optativas
90;Metalurgia de la Soldadura;64;Optativas
91;Diseño de Soldadura de Estructuras Complejas;64;Optativas
92;Certificación de Calidad en Soldadura;64;Optativas
93;Filosofía de la Tecnologías;32;Optativas
94;Ingeniería, Comunicación y Educación;64;Optativas
95;Estructuras Cristalinas;64;Optativas
96;Diseño de Materiales Cerámicos;48;Optativas
97;Métodos Informáticos para la Ingeniería en Materiales;32;Optativas
98;Programación, Algoritmos y Estructura de Datos;64;Optativas
99;Didáctica de Nivel Superior;64;Optativas
100;Enseñanza, Curriculum y Evaluación en Ingeniería;64;Optativas
